empSkillId,employee_ohrId,skill_skillId,proficiencyLevel,yearsOfExp
a50e8400-e29b-41d4-a716-446655440001,EMP001,850e8400-e29b-41d4-a716-446655440001,Advanced,6.0
a50e8400-e29b-41d4-a716-446655440002,EMP001,850e8400-e29b-41d4-a716-446655440005,Advanced,5.5
a50e8400-e29b-41d4-a716-446655440003,EMP001,850e8400-e29b-41d4-a716-446655440007,Advanced,4.0
a50e8400-e29b-41d4-a716-446655440004,EMP001,850e8400-e29b-41d4-a716-446655440010,Intermediate,3.0
a50e8400-e29b-41d4-a716-446655440005,EMP002,850e8400-e29b-41d4-a716-446655440002,Advanced,5.0
a50e8400-e29b-41d4-a716-446655440006,EMP002,850e8400-e29b-41d4-a716-446655440005,Intermediate,4.5
a50e8400-e29b-41d4-a716-446655440007,EMP002,850e8400-e29b-41d4-a716-446655440012,Advanced,3.5
a50e8400-e29b-41d4-a716-446655440008,EMP002,850e8400-e29b-41d4-a716-446655440015,Intermediate,2.0
a50e8400-e29b-41d4-a716-446655440009,EMP003,850e8400-e29b-41d4-a716-446655440001,Advanced,5.5
a50e8400-e29b-41d4-a716-446655440010,EMP003,850e8400-e29b-41d4-a716-446655440007,Advanced,4.5
a50e8400-e29b-41d4-a716-446655440011,EMP003,850e8400-e29b-41d4-a716-446655440008,Intermediate,3.0
a50e8400-e29b-41d4-a716-446655440012,EMP004,850e8400-e29b-41d4-a716-446655440003,Intermediate,3.0
a50e8400-e29b-41d4-a716-446655440013,EMP004,850e8400-e29b-41d4-a716-446655440017,Advanced,3.5
a50e8400-e29b-41d4-a716-446655440014,EMP004,850e8400-e29b-41d4-a716-446655440020,Intermediate,2.5
a50e8400-e29b-41d4-a716-446655440015,EMP005,850e8400-e29b-41d4-a716-446655440021,Advanced,8.0
a50e8400-e29b-41d4-a716-446655440016,EMP005,850e8400-e29b-41d4-a716-446655440022,Advanced,7.5
a50e8400-e29b-41d4-a716-446655440017,EMP005,850e8400-e29b-41d4-a716-446655440023,Intermediate,5.0
a50e8400-e29b-41d4-a716-446655440018,EMP006,850e8400-e29b-41d4-a716-446655440005,Advanced,4.0
a50e8400-e29b-41d4-a716-446655440019,EMP006,850e8400-e29b-41d4-a716-446655440026,Advanced,3.5
a50e8400-e29b-41d4-a716-446655440020,EMP006,850e8400-e29b-41d4-a716-446655440001,Intermediate,2.0
