verticalId,verticalName,description
550e8400-e29b-41d4-a716-446655440001,Healthcare,Healthcare and Life Sciences
550e8400-e29b-41d4-a716-446655440002,Finance,Banking and Financial Services
550e8400-e29b-41d4-a716-446655440003,Technology,Technology and IT Services
550e8400-e29b-41d4-a716-446655440004,Retail,Retail and E-commerce
550e8400-e29b-41d4-a716-446655440005,Manufacturing,Manufacturing and Industrial
550e8400-e29b-41d4-a716-446655440006,Telecom,Telecommunications
550e8400-e29b-41d4-a716-446655440007,Energy,Energy and Utilities
550e8400-e29b-41d4-a716-446655440008,Government,Government and Public Sector
550e8400-e29b-41d4-a716-446655440009,Education,Education and Training
550e8400-e29b-41d4-a716-446655440010,Other,Other Industries
