SAPcustId,customerName,city,segment,state,country,status,vertical,verticalId
cust-0001,GE Vernova,,,,,Active,HMS,1
cust-0002,Penske,,,,,Active,HMS,1
cust-0003,Cox Enterprises,,,,,Active,HMS,1
cust-0004,Ahold Delhaize,,,,,Active,C&H,2
cust-0005,Rain Bird,,,,,Active,HMS,1
cust-0006,ABB,,,,,Active,HMS,1
cust-0007,GE Aviation,,,,,Active,HMS,1
cust-0008,GE HealthCare,,,,,Active,HMS,1
cust-0009,Asahi Breweries,,,,,Active,C&H,2
cust-0010,Dentsply Sirona,,,,,Active,C&H,2
cust-0011,Wabtec,,,,,Active,HMS,1
cust-0012,Cytiva,,,,,Active,HMS,1
cust-0013,SPIRIT AEROSYSTEMS,,,,,Active,HMS,1
cust-0014,CSC,,,,,Active,HMS,1
cust-0015,OTSUKA PHARMACEUTICAL COMPANY LIMITED,,,,,Active,C&H,2
cust-0016,Entegris,,,,,Active,HMS,1
cust-0017,IEH Auto Parts,,,,,Active,HMS,1
cust-0018,Viatris,,,,,Active,C&H,2
cust-0019,LAM Research,,,,,Active,HMS,1
cust-0020,REED ELSEVIER,,,,,Active,HMS,1
cust-0021,Norgine,,,,,Active,C&H,2
cust-0022,BCG THE BOSTON CONSULTING GROUP,,,,,Active,HMS,1
cust-0023,Click Therapeutics,,,,,Active,C&H,2
cust-0024,HEINEKEN,,,,,Active,C&H,2
cust-0025,HYATT,,,,,Active,HMS,1
cust-0026,Reworld,,,,,Active,HMS,1
cust-0027,CNH Industrials,,,,,Active,HMS,1
cust-0028,DOLLAR GENERAL,,,,,Active,C&H,2
cust-0029,Shutterfly,,,,,Active,HMS,1
cust-0030,Coca Cola Bottlers Sales & Services,,,,,Active,C&H,2
cust-0031,I D SYSTEMS,,,,,Active,HMS,1
cust-0032,CDK Global,,,,,Active,HMS,1
cust-0033,BAKER HUGHES,,,,,Active,HMS,1
cust-0034,TaylorMade Golf,,,,,Active,C&H,2
cust-0035,Amazon,,,,,Active,HMS,1
cust-0036,Iveco Group,,,,,Active,HMS,1
cust-0037,Meta,,,,,Active,HMS,1
cust-0038,HUMANA,,,,,Active,C&H,2
cust-0039,GALDERMA,,,,,Active,C&H,2
cust-0040,Believer Meats,,,,,Active,C&H,2
