sapPId,sfdcPId,projectName,startDate,endDate,gpm,projectType,oppId,status,requiredResources,allocatedResources,toBeAllocated,SOWReceived,POReceived
P-0001,91697538,BAAN Transformation and Modernisation to Pmax,2024-12-01,2026-04-15,Sridhar Rao,FixedPrice,246921,Planned,,,,No,No
P-0002,91697416,BAAN Transformation and Modernisation to Pmax - Contingency,2024-12-01,2026-04-15,Sridhar Rao,FixedPrice,246921,Planned,,,,No,No
P-0003,91697415,BAAN Transformation and Modernisation to Pmax - Smartshop,2024-12-01,2026-04-15,Sridhar Rao,FixedPrice,246921,Planned,,,,No,No
P-0004,91674805,GE Vernova AMS - Megatech Data &amp; Analytics,2024-01-01,2028-12-31,PVVenkat,TransactionBased,214544,Planned,,,,No,No
P-0005,91674804,GE Vernova AMS - Megatech ERP,2024-01-01,2028-12-31,PVVenkat,TransactionBased,214544,Planned,,,,No,No
P-0006,91684853,912866-Gas Power - ERP Program Services - Fixed Monthly,2024-06-01,2029-05-31,K N Sathisha,TransactionBased,239493,Planned,,,,No,No
P-0007,91702243,924018 -Steam ERP Program - CI,2025-02-01,2025-12-31,Anil Tarmani,TransactionBased,251522,Planned,,,,No,No
P-0008,91679364,910160-BW HANA Finance Analytics,2024-02-01,2025-12-31,Shiva Koneru,FixedMonthly,232749,Planned,,,,No,No
P-0009,91690930,Steam BW Carve Out - Pass Thru,2024-12-15,2025-11-14,Shiva Koneru,PassThru,245607,Planned,,,,No,No
P-0010,91675364,GE Gas Power - Data Conversion 2024-25,2024-01-01,2025-12-31,Dharma A,TransactionBased,230302,Planned,,,,No,No
P-0011,91695019,OFS Tooling Site to Site Process Enhancements,2024-11-11,2025-12-31,Pallavi S,FixedPrice,248138,Planned,,,,No,No
P-0012,91697535,TMLA LE Name Change,2024-12-01,2025-12-31,Srinivas Pemireddy,FixedPrice,248137,Planned,,,,No,No
P-0013,91695848,TMLA LE Name Change - Contingency,2024-12-01,2025-12-31,Srinivas Pemireddy,FixedPrice,248137,Planned,,,,No,No
P-0014,91697649,923557-SSS to CCL Exit,2024-12-01,2025-12-31,Jeevan Karu,FixedMonthly,250656,Planned,,,,No,No
P-0015,91702781,Ariba Rollouts for 2025,2025-01-01,2025-12-31,Jeevan Karu,FixedMonthly,251523,Planned,,,,No,No
P-0016,91708142,MRO Project (Plant Maintenance),2025-03-01,2025-12-31,Pallavi S,FixedPrice,252016,Planned,,,,No,No
P-0017,91697405,BAAN transformation and Modernization to Pmax-Divine,2024-12-01,2026-04-15,Munender M,Divine,246921,Planned,,,,No,No
P-0018,91697404,BAAN transformation and Modernization to Pmax-Divine-Contingency,2024-12-01,2026-04-15,Munender M,Divine,246921,Planned,,,,No,No
P-0019,91697166,923317_TMLA LE Name change-Apex,2024-12-01,2025-12-31,Munender M,FixedPrice,248137,Planned,,,,No,No
P-0020,91697165,923316_TMLA LE Name change-Apex Contingency,2024-12-01,2025-12-31,Munender M,FixedPrice,248137,Planned,,,,No,No
P-0021,91705876,923414_TMLA LE Name change-ARIBA Efforts,2025-01-01,2025-12-31,Jeevan Karu,FixedPrice,250350,Planned,,,,No,No
P-0022,91703699,Ariba P2O/Guided Buying &amp; Ariba Network Rollouts for Gas Power- Passthru,2025-04-01,2025-12-31,Jeevan Karu,PassThru,251523,Planned,,,,No,No
P-0023,91695349,GE Grid GRC Solution Architect,2024-11-01,2025-10-31,Surojeet Sengupta,FixedMonthly,244224,Planned,,,,No,No
P-0024,91708277,OFS Tooling Sourcing Optimization,2025-04-01,2026-01-31,Pallavi S,FixedPrice,251587,Planned,,,,No,No
P-0025,91711693,OFS Tooling Logistics Optimization - OTM Integration,2025-05-15,2025-11-07,Pallavi S,FixedPrice,257557,Planned,,,,No,No
